"id"	"ticket_id"	"transition_id"	"suggestion"	"state_id"	"participant_type_id"	"participant"	"intervene_type_id"	"ticket_data"	"creator"	"gmt_created"	"gmt_modified"	"is_deleted"	"modifier"
"1"	"1"	"1"	""	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/8/29 15:36:26"	"2018/8/29 15:36:26"	"0"	"admin"
"2"	"1"	"3"	"提交"	"2"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/8/29 16:15:12"	"2018/8/29 16:15:12"	"0"	"admin"
"3"	"1"	"4"	"审核退回"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/8/29 18:18:42"	"2018/8/29 18:18:42"	"0"	"admin"
"4"	"1"	"3"	"保存提交2"	"2"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/8/29 18:24:18"	"2018/8/29 18:24:18"	"0"	"admin"
"5"	"1"	"4"	"审核退回2"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/8/29 18:26:09"	"2018/8/29 18:26:09"	"0"	"admin"
"6"	"1"	"4"	"审核退回2"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/8/29 18:33:36"	"2018/8/29 18:33:36"	"0"	"admin"
"7"	"1"	"3"	"提交测试2"	"2"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/8/29 18:38:50"	"2018/8/29 18:38:50"	"0"	"admin"
"8"	"1"	"3"	"提交测试2"	"2"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/8/29 18:45:18"	"2018/8/29 18:45:18"	"0"	"admin"
"9"	"1"	"3"	"提交测试2"	"2"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/8/29 18:48:46"	"2018/8/29 18:48:46"	"0"	"admin"
"10"	"1"	"5"	"审核通过"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/8/29 19:10:34"	"2018/8/29 19:10:34"	"0"	"admin"
"11"	"1"	"5"	"审核通过"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/8/29 19:14:18"	"2018/8/29 19:14:18"	"0"	"admin"
"12"	"1"	"6"	"This is a script.
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/8/29 19:14:18"	"2018/8/29 19:14:18"	"0"	"admin"
"13"	"1"	"7"	"调度完成"	"5"	"1"	"chuliren"	"0"	""	"chuliren"	"2018/8/29 19:18:29"	"2018/8/29 19:18:29"	"0"	"admin"
"14"	"1"	"5"	"审核通过2"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/8/29 19:49:53"	"2018/8/29 19:49:53"	"0"	"admin"
"15"	"1"	"6"	"This is a script.
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/8/29 19:49:57"	"2018/8/29 19:49:57"	"0"	"admin"
"16"	"1"	"7"	"处理完成"	"5"	"1"	"chuliren"	"0"	""	"chuliren"	"2018/8/31 10:04:52"	"2018/8/31 10:04:52"	"0"	"admin"
"17"	"1"	"5"	"脚本测试"	"3"	"1"	"chuliren"	"0"	""	"chuliren"	"2018/8/31 10:06:02"	"2018/8/31 10:06:02"	"0"	"admin"
"18"	"1"	"6"	"This is a script.
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/8/31 10:06:06"	"2018/8/31 10:06:06"	"0"	"admin"
"19"	"1"	"7"	"调度完成"	"5"	"1"	"chuliren"	"0"	""	"chuliren"	"2018/8/31 10:06:43"	"2018/8/31 10:06:43"	"0"	"admin"
"20"	"1"	"9"	"调度完成"	"6"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/8/31 10:11:24"	"2018/8/31 10:11:24"	"0"	"admin"
"21"	"1"	"5"	"审核通过"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 09:51:07"	"2018/9/4 09:51:07"	"0"	"admin"
"22"	"1"	"6"	"{'_state': <django.db.models.base.ModelState object at 0x000001582CB03EF0>, 'id': 1, 'title': '测试工单001', 'workflow_id': 1, 'sn': 'YQ-0120180829-001', 'state_id': 4, 'parent_ticket_id': 0, 'parent_ticket_state_id': 0, 'participant': 'test.py', 'participant_type_id': 6, 'relation': 'shenqingren,chuliren,jiekouren', 'in_add_node': False, 'add_node_man': '', 'application_date': datetime.date(2018, 8, 29), 'creator': 'shenqingren', 'modifier': 'shenqingren', 'gmt_created': datetime.datetime(2018, 8, 29, 15, 36, 26, 718852), 'gmt_modified': datetime.datetime(2018, 9, 4, 9, 51, 7, 367014), 'is_deleted': False}
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/9/4 09:51:10"	"2018/9/4 09:51:10"	"0"	"admin"
"23"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 14:22:37"	"2018/9/4 14:22:37"	"0"	"admin"
"24"	"1"	"6"	"{'_state': <django.db.models.base.ModelState object at 0x000001582CB554E0>, 'id': 1, 'title': '测试工单001', 'workflow_id': 1, 'sn': 'YQ-0120180829-001', 'state_id': 4, 'parent_ticket_id': 0, 'parent_ticket_state_id': 0, 'participant': 'test.py', 'participant_type_id': 6, 'relation': 'chuliren,shenqingren,jiekouren', 'in_add_node': False, 'add_node_man': '', 'application_date': datetime.date(2018, 8, 29), 'creator': 'shenqingren', 'modifier': 'shenqingren', 'gmt_created': datetime.datetime(2018, 8, 29, 15, 36, 26, 718852), 'gmt_modified': datetime.datetime(2018, 9, 4, 14, 22, 37, 82928), 'is_deleted': False}
test script.py
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/9/4 14:22:40"	"2018/9/4 14:22:40"	"0"	"admin"
"25"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 14:28:26"	"2018/9/4 14:28:26"	"0"	"admin"
"26"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 14:29:39"	"2018/9/4 14:29:39"	"0"	"admin"
"27"	"1"	"6"	"{'_state': <django.db.models.base.ModelState object at 0x000002A476C85860>, 'id': 1, 'title': '测试工单00001', 'workflow_id': 1, 'sn': 'YQ-0120180829-001', 'state_id': 4, 'parent_ticket_id': 0, 'parent_ticket_state_id': 0, 'participant': 'test.py', 'participant_type_id': 6, 'relation': 'shenqingren,jiekouren,chuliren', 'in_add_node': False, 'add_node_man': '', 'application_date': datetime.date(2018, 8, 29), 'creator': 'shenqingren', 'modifier': 'shenqingren', 'gmt_created': datetime.datetime(2018, 8, 29, 15, 36, 26, 718852), 'gmt_modified': datetime.datetime(2018, 9, 4, 14, 29, 42, 996221), 'is_deleted': False}
test script.py
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/9/4 14:29:43"	"2018/9/4 14:29:43"	"0"	"admin"
"28"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 14:57:37"	"2018/9/4 14:57:37"	"0"	"admin"
"29"	"1"	"6"	"{'_state': <django.db.models.base.ModelState object at 0x000001810AE6CB70>, 'id': 1, 'title': '测试工单00001', 'workflow_id': 1, 'sn': 'YQ-0120180829-001', 'state_id': 4, 'parent_ticket_id': 0, 'parent_ticket_state_id': 0, 'participant': 'test.py', 'participant_type_id': 6, 'relation': 'chuliren,shenqingren,jiekouren', 'in_add_node': False, 'add_node_man': '', 'application_date': datetime.date(2018, 8, 29), 'creator': 'shenqingren', 'modifier': 'shenqingren', 'gmt_created': datetime.datetime(2018, 8, 29, 15, 36, 26, 718852), 'gmt_modified': datetime.datetime(2018, 9, 4, 14, 57, 40, 878612), 'is_deleted': False}
test script.py
<built-in function globals>
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/9/4 14:57:40"	"2018/9/4 14:57:40"	"0"	"admin"
"30"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 14:58:32"	"2018/9/4 14:58:32"	"0"	"admin"
"31"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 14:59:43"	"2018/9/4 14:59:43"	"0"	"admin"
"32"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 15:02:00"	"2018/9/4 15:02:00"	"0"	"admin"
"33"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 15:03:10"	"2018/9/4 15:03:10"	"0"	"admin"
"34"	"1"	"6"	"'builtin_function_or_method' object has no attribute '__dict__'"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/9/4 15:03:10"	"2018/9/4 15:03:10"	"0"	"admin"
"35"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 15:04:39"	"2018/9/4 15:04:39"	"0"	"admin"
"36"	"1"	"5"	"测试脚本stdout"	"3"	"1"	"jiekouren"	"0"	""	"jiekouren"	"2018/9/4 15:08:32"	"2018/9/4 15:08:32"	"0"	"admin"
"37"	"1"	"6"	"{'_state': <django.db.models.base.ModelState object at 0x000001810AF8E2E8>, 'id': 1, 'title': '测试工单00001', 'workflow_id': 1, 'sn': 'YQ-0120180829-001', 'state_id': 4, 'parent_ticket_id': 0, 'parent_ticket_state_id': 0, 'participant': 'test.py', 'participant_type_id': 6, 'relation': 'shenqingren,chuliren,jiekouren', 'in_add_node': False, 'add_node_man': '', 'application_date': datetime.date(2018, 8, 29), 'creator': 'shenqingren', 'modifier': 'shenqingren', 'gmt_created': datetime.datetime(2018, 8, 29, 15, 36, 26, 718852), 'gmt_modified': datetime.datetime(2018, 9, 4, 15, 8, 32, 813703), 'is_deleted': False}
test script.py
1
"	"4"	"6"	"test.py"	"0"	""	"robot"	"2018/9/4 15:08:32"	"2018/9/4 15:08:32"	"0"	"admin"
"38"	"2"	"2"	"新建工单002"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 18:37:38"	"2018/9/5 18:37:38"	"0"	"admin"
"39"	"3"	"2"	"新建工单002"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 18:46:09"	"2018/9/5 18:46:09"	"0"	"admin"
"40"	"4"	"2"	"新建工单002"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 18:49:39"	"2018/9/5 18:49:39"	"0"	"admin"
"41"	"5"	"2"	"新建工单005"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:00:55"	"2018/9/5 19:00:55"	"0"	"admin"
"42"	"6"	"2"	"新建工单006"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:05:04"	"2018/9/5 19:05:04"	"0"	"admin"
"43"	"7"	"2"	"新建工单006"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:06:38"	"2018/9/5 19:06:38"	"0"	"admin"
"44"	"8"	"2"	"新建工单008"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:08:58"	"2018/9/5 19:08:58"	"0"	"admin"
"45"	"9"	"2"	"新建工单008"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:10:30"	"2018/9/5 19:10:30"	"0"	"admin"
"46"	"10"	"2"	"新建工单008"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:11:26"	"2018/9/5 19:11:26"	"0"	"admin"
"47"	"11"	"2"	"新建工单008"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:11:46"	"2018/9/5 19:11:46"	"0"	"admin"
"48"	"12"	"2"	"新建工单008"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:12:13"	"2018/9/5 19:12:13"	"0"	"admin"
"49"	"13"	"2"	"新建工单008"	"1"	"1"	"shenqingren"	"0"	""	"shenqingren"	"2018/9/5 19:12:37"	"2018/9/5 19:12:37"	"0"	"admin"
